"Country or Area","Element","Year","Unit","Value","Value Footnotes"
"Afghanistan","Share in Land area","2017","%","12.13",""
"Afghanistan","Share in Land area","2016","%","12.13",""
"Afghanistan","Share in Land area","2015","%","12.13",""
"Afghanistan","Share in Land area","2014","%","12.13",""
"Afghanistan","Share in Land area","2013","%","12.13",""
"Afghanistan","Share in Land area","2012","%","12.13",""
"Afghanistan","Share in Land area","2011","%","12.14",""
"Afghanistan","Share in Land area","2010","%","12.14",""
"Afghanistan","Share in Land area","2009","%","12.14",""
"Afghanistan","Share in Land area","2008","%","12.14",""
"Afghanistan","Share in Land area","2007","%","12.13",""
"Afghanistan","Share in Land area","2006","%","12.13",""
"Afghanistan","Share in Land area","2005","%","12.14",""
"Afghanistan","Share in Land area","2004","%","12.16",""
"Afghanistan","Share in Land area","2003","%","12.09",""
"Afghanistan","Share in Land area","2002","%","11.94",""
"Afghanistan","Share in Land area","2001","%","11.95",""
"Afghanistan","Share in Land area","2000","%","11.95",""
"Afghanistan","Share in Land area","1999","%","11.90",""
"Afghanistan","Share in Land area","1998","%","12.06",""
"Afghanistan","Share in Land area","1997","%","11.95",""
"Afghanistan","Share in Land area","1996","%","11.89",""
"Afghanistan","Share in Land area","1995","%","11.90",""
"Afghanistan","Share in Land area","1994","%","11.98",""
"Afghanistan","Share in Land area","1993","%","12.16",""
"Afghanistan","Share in Land area","1992","%","12.31",""
"Afghanistan","Share in Land area","1991","%","12.31",""
"Afghanistan","Share in Land area","1990","%","12.33",""
"Afghanistan","Share in Land area","1989","%","12.33",""
"Afghanistan","Share in Land area","1988","%","12.33",""
"Afghanistan","Share in Land area","1987","%","12.33",""
"Afghanistan","Share in Land area","1986","%","12.35",""
"Afghanistan","Share in Land area","1985","%","12.35",""
"Afghanistan","Share in Land area","1984","%","12.35",""
"Afghanistan","Share in Land area","1983","%","12.35",""
"Afghanistan","Share in Land area","1982","%","12.35",""
"Afghanistan","Share in Land area","1981","%","12.35",""
"Afghanistan","Share in Land area","1980","%","12.34",""
"Afghanistan","Share in Land area","1979","%","12.34",""
"Afghanistan","Share in Land area","1978","%","12.34",""
"Afghanistan","Share in Land area","1977","%","12.34",""
"Afghanistan","Share in Land area","1976","%","12.34",""
"Afghanistan","Share in Land area","1975","%","12.34",""
"Afghanistan","Share in Land area","1974","%","12.34",""
"Afghanistan","Share in Land area","1973","%","12.34",""
"Afghanistan","Share in Land area","1972","%","12.34",""
"Afghanistan","Share in Land area","1971","%","12.32",""
"Afghanistan","Share in Land area","1970","%","12.27",""
"Afghanistan","Share in Land area","1969","%","12.26",""
"Afghanistan","Share in Land area","1968","%","12.23",""
"Afghanistan","Share in Land area","1967","%","12.23",""
"Afghanistan","Share in Land area","1966","%","12.20",""
"Afghanistan","Share in Land area","1965","%","12.13",""
"Afghanistan","Share in Land area","1964","%","12.12",""
"Afghanistan","Share in Land area","1963","%","12.04",""
"Afghanistan","Share in Land area","1962","%","11.96",""
"Afghanistan","Share in Land area","1961","%","11.88",""
"Afghanistan","Area per capita","2021","ha/cap","0.20",""
"Afghanistan","Area per capita","2020","ha/cap","0.21",""
"Afghanistan","Area per capita","2019","ha/cap","0.21",""
"Afghanistan","Area per capita","2018","ha/cap","0.22",""
"Afghanistan","Area per capita","2017","ha/cap","0.22",""
"Afghanistan","Area per capita","2016","ha/cap","0.23",""
"Afghanistan","Area per capita","2015","ha/cap","0.23",""
"Afghanistan","Area per capita","2014","ha/cap","0.24",""
"Afghanistan","Area per capita","2013","ha/cap","0.25",""
"Afghanistan","Area per capita","2012","ha/cap","0.26",""
"Afghanistan","Area per capita","2011","ha/cap","0.27",""
"Afghanistan","Area per capita","2010","ha/cap","0.28",""
"Afghanistan","Area per capita","2009","ha/cap","0.29",""
"Afghanistan","Area per capita","2008","ha/cap","0.30",""
"Afghanistan","Area per capita","2007","ha/cap","0.31",""
"Afghanistan","Area per capita","2006","ha/cap","0.31",""
"Afghanistan","Area per capita","2005","ha/cap","0.32",""
"Afghanistan","Area per capita","2004","ha/cap","0.34",""
"Afghanistan","Area per capita","2003","ha/cap","0.35",""
"Afghanistan","Area per capita","2002","ha/cap","0.37",""
"Afghanistan","Area per capita","2001","ha/cap","0.40",""
"Afghanistan","Area per capita","2000","ha/cap","0.40",""
"Afghanistan","Area per capita","1999","ha/cap","0.40",""
"Afghanistan","Area per capita","1998","ha/cap","0.43",""
"Afghanistan","Area per capita","1997","ha/cap","0.44",""
"Afghanistan","Area per capita","1996","ha/cap","0.45",""
"Afghanistan","Area per capita","1995","ha/cap","0.47",""
"Afghanistan","Area per capita","1994","ha/cap","0.51",""
"Afghanistan","Area per capita","1993","ha/cap","0.57",""
"Afghanistan","Area per capita","1992","ha/cap","0.67",""
"Afghanistan","Area per capita","1991","ha/cap","0.75",""
"Afghanistan","Area per capita","1990","ha/cap","0.75",""
"Afghanistan","Area per capita","1989","ha/cap","0.75",""
"Afghanistan","Area per capita","1988","ha/cap","0.77",""
"Afghanistan","Area per capita","1987","ha/cap","0.78",""
"Afghanistan","Area per capita","1986","ha/cap","0.77",""
"Afghanistan","Area per capita","1985","ha/cap","0.77",""
"Afghanistan","Area per capita","1984","ha/cap","0.79",""
"Afghanistan","Area per capita","1983","ha/cap","0.81",""
"Afghanistan","Area per capita","1982","ha/cap","0.80",""
"Afghanistan","Area per capita","1981","ha/cap","0.72",""
"Afghanistan","Area per capita","1980","ha/cap","0.64",""
"Afghanistan","Area per capita","1979","ha/cap","0.62",""
"Afghanistan","Area per capita","1978","ha/cap","0.62",""
"Afghanistan","Area per capita","1977","ha/cap","0.63",""
"Afghanistan","Area per capita","1976","ha/cap","0.65",""
"Afghanistan","Area per capita","1975","ha/cap","0.66",""
"Afghanistan","Area per capita","1974","ha/cap","0.68",""
"Afghanistan","Area per capita","1973","ha/cap","0.70",""
"Afghanistan","Area per capita","1972","ha/cap","0.71",""
"Afghanistan","Area per capita","1971","ha/cap","0.73",""
"Afghanistan","Area per capita","1970","ha/cap","0.74",""
"Afghanistan","Area per capita","1969","ha/cap","0.76",""
"Afghanistan","Area per capita","1968","ha/cap","0.78",""
"Afghanistan","Area per capita","1967","ha/cap","0.80",""
"Afghanistan","Area per capita","1966","ha/cap","0.81",""
"Afghanistan","Area per capita","1965","ha/cap","0.83",""
"Afghanistan","Area per capita","1964","ha/cap","0.85",""
"Afghanistan","Area per capita","1963","ha/cap","0.86",""
"Afghanistan","Area per capita","1962","ha/cap","0.87",""
"Afghanistan","Area per capita","1961","ha/cap","0.88",""
"Africa","Area","2021","1000 ha","293252.96",""
"Africa","Area","2020","1000 ha","292338.26",""
"Africa","Area","2019","1000 ha","290340.22",""
"Africa","Area","2018","1000 ha","289423.63",""
"Africa","Area","2017","1000 ha","286846.59",""
"Africa","Area","2016","1000 ha","283957.02",""
"Africa","Area","2015","1000 ha","280923.93",""
"Africa","Area","2014","1000 ha","278285.65",""
"Africa","Area","2013","1000 ha","276473.80",""
"Africa","Area","2012","1000 ha","272395.70",""
"Africa","Area","2011","1000 ha","266339.01",""
"Africa","Area","2010","1000 ha","262436.63",""
"Africa","Area","2009","1000 ha","259333.05",""
"Africa","Area","2008","1000 ha","253498.85",""
"Africa","Area","2007","1000 ha","250010.07",""
"Africa","Area","2006","1000 ha","246567.77",""
"Africa","Area","2005","1000 ha","245005.44",""
"Africa","Area","2004","1000 ha","241153.99",""
"Africa","Area","2003","1000 ha","239746.46",""
"Africa","Area","2002","1000 ha","233511.01",""
"Africa","Area","2001","1000 ha","231557.38",""
"Africa","Area","2000","1000 ha","230207.80",""
"Africa","Area","1999","1000 ha","229537.73",""
"Africa","Area","1998","1000 ha","226689.29",""
"Africa","Area","1997","1000 ha","225658.02",""
"Africa","Area","1996","1000 ha","224143.56",""
"Africa","Area","1995","1000 ha","221179.10",""
"Africa","Area","1994","1000 ha","215892.66",""
"Africa","Area","1993","1000 ha","213717.18",""
"Africa","Area","1992","1000 ha","209863.28",""
"Africa","Area","1991","1000 ha","205990.00",""
"Africa","Area","1990","1000 ha","203152.00",""
"Africa","Area","1989","1000 ha","201050.00",""
"Africa","Area","1988","1000 ha","199614.00",""
"Africa","Area","1987","1000 ha","198004.00",""
"Africa","Area","1986","1000 ha","197556.00",""
"Africa","Area","1985","1000 ha","196500.00",""
"Africa","Area","1984","1000 ha","193431.26",""
"Africa","Area","1983","1000 ha","192011.74",""
"Africa","Area","1982","1000 ha","191189.24",""
"Africa","Area","1981","1000 ha","190011.00",""
"Africa","Area","1980","1000 ha","189541.00",""
"Africa","Area","1979","1000 ha","189090.00",""
"Africa","Area","1978","1000 ha","188811.00",""
"Africa","Area","1977","1000 ha","186982.00",""
"Africa","Area","1976","1000 ha","186309.00",""
"Africa","Area","1975","1000 ha","185152.00",""
"Africa","Area","1974","1000 ha","183090.00",""
"Africa","Area","1973","1000 ha","182965.00",""
"Africa","Area","1972","1000 ha","182193.00",""
"Africa","Area","1971","1000 ha","180968.00",""
"Africa","Area","1970","1000 ha","179457.00",""
"Africa","Area","1969","1000 ha","178586.00",""
"Africa","Area","1968","1000 ha","177162.00",""
"Africa","Area","1967","1000 ha","175283.00",""
"Africa","Area","1966","1000 ha","174645.00",""
"Africa","Area","1965","1000 ha","173701.00",""
"Africa","Area","1964","1000 ha","172020.00",""
"Africa","Area","1963","1000 ha","170521.00",""
"Africa","Area","1962","1000 ha","168480.00",""
"Africa","Area","1961","1000 ha","167219.00",""
"Africa","Share in Agricultural land","2021","%","25.24",""
"Africa","Share in Agricultural land","2020","%","25.19",""
"Africa","Share in Agricultural land","2019","%","25.06",""
"Africa","Share in Agricultural land","2018","%","25.00",""
"Africa","Share in Agricultural land","2017","%","24.84",""
"Africa","Share in Agricultural land","2016","%","24.64",""
"Africa","Share in Agricultural land","2015","%","24.44",""
"Africa","Share in Agricultural land","2014","%","24.28",""
"Africa","Share in Agricultural land","2013","%","24.16",""
"Africa","Share in Agricultural land","2012","%","23.91",""
"Africa","Share in Agricultural land","2011","%","23.50",""
"Africa","Share in Agricultural land","2010","%","23.23",""
"Africa","Share in Agricultural land","2009","%","23.05",""
"Africa","Share in Agricultural land","2008","%","22.63",""
"Africa","Share in Agricultural land","2007","%","22.38",""
"Africa","Share in Agricultural land","2006","%","22.16",""
"Africa","Share in Agricultural land","2005","%","22.07",""
"Africa","Share in Agricultural land","2004","%","21.88",""
"Africa","Share in Agricultural land","2003","%","21.80",""
"Africa","Share in Agricultural land","2002","%","21.36",""
"Africa","Share in Agricultural land","2001","%","21.23",""
"Africa","Share in Agricultural land","2000","%","21.17",""
"Africa","Share in Agricultural land","1999","%","21.18",""
"Africa","Share in Agricultural land","1998","%","21.01",""
"Africa","Share in Agricultural land","1997","%","20.96",""
"Africa","Share in Agricultural land","1996","%","20.90",""
"Africa","Share in Agricultural land","1995","%","20.70",""
"Africa","Share in Agricultural land","1994","%","20.33",""
"Africa","Share in Agricultural land","1993","%","20.27",""
"Africa","Share in Agricultural land","1992","%","19.68",""
"Africa","Share in Agricultural land","1991","%","19.43",""
"Africa","Share in Agricultural land","1990","%","19.21",""
"Africa","Share in Agricultural land","1989","%","19.06",""
"Africa","Share in Agricultural land","1988","%","18.98",""
"Africa","Share in Agricultural land","1987","%","18.92",""
"Africa","Share in Agricultural land","1986","%","18.93",""
"Africa","Share in Agricultural land","1985","%","18.91",""
"Africa","Share in Agricultural land","1984","%","18.69",""
"Africa","Share in Agricultural land","1983","%","18.58",""
"Africa","Share in Agricultural land","1982","%","18.53",""
"Africa","Share in Agricultural land","1981","%","18.44",""
"Africa","Share in Agricultural land","1980","%","18.34",""
"Africa","Share in Agricultural land","1979","%","18.33",""
"Africa","Share in Agricultural land","1978","%","18.31",""
"Africa","Share in Agricultural land","1977","%","18.17",""
"Africa","Share in Agricultural land","1976","%","18.12",""
"Africa","Share in Agricultural land","1975","%","18.03",""
"Africa","Share in Agricultural land","1974","%","17.85",""
"Africa","Share in Agricultural land","1973","%","17.85",""
"Africa","Share in Agricultural land","1972","%","17.77",""
"Africa","Share in Agricultural land","1971","%","17.67",""
"Africa","Share in Agricultural land","1970","%","17.58",""
"Africa","Share in Agricultural land","1969","%","17.51",""
"Africa","Share in Agricultural land","1968","%","17.40",""
"Africa","Share in Agricultural land","1967","%","17.25",""
"Africa","Share in Agricultural land","1966","%","17.20",""
"Africa","Share in Agricultural land","1965","%","17.13",""
"Africa","Share in Agricultural land","1964","%","16.97",""
"Africa","Share in Agricultural land","1963","%","16.83",""
"Africa","Share in Agricultural land","1962","%","16.64",""
"Africa","Share in Agricultural land","1961","%","16.52",""
"Africa","Share in Land area","2021","%","9.80",""
"Africa","Share in Land area","2020","%","9.77",""
"Africa","Share in Land area","2019","%","9.70",""
"Africa","Share in Land area","2018","%","9.67",""
"Africa","Share in Land area","2017","%","9.59",""
"Africa","Share in Land area","2016","%","9.49",""
"Africa","Share in Land area","2015","%","9.39",""
"Africa","Share in Land area","2014","%","9.30",""
"Africa","Share in Land area","2013","%","9.24",""
"Africa","Share in Land area","2012","%","9.10",""
"Africa","Share in Land area","2011","%","8.94",""
"Africa","Share in Land area","2010","%","8.81",""
"Africa","Share in Land area","2009","%","8.70",""
"Africa","Share in Land area","2008","%","8.51",""
"Africa","Share in Land area","2007","%","8.39",""
"Africa","Share in Land area","2006","%","8.27",""
"Africa","Share in Land area","2005","%","8.22",""
"Africa","Share in Land area","2004","%","8.09",""
"Africa","Share in Land area","2003","%","8.09",""
"Africa","Share in Land area","2002","%","7.88",""
"Africa","Share in Land area","2001","%","7.81",""
"Africa","Share in Land area","2000","%","7.76",""
"Africa","Share in Land area","1999","%","7.74",""
"Africa","Share in Land area","1998","%","7.65",""
"Africa","Share in Land area","1997","%","7.61",""
"Africa","Share in Land area","1996","%","7.56",""
"Africa","Share in Land area","1995","%","7.46",""
"Africa","Share in Land area","1994","%","7.28",""
"Africa","Share in Land area","1993","%","7.21",""
"Africa","Share in Land area","1992","%","7.08",""
"Africa","Share in Land area","1991","%","6.95",""
"Africa","Share in Land area","1990","%","6.85",""
"Africa","Share in Land area","1989","%","6.78",""
"Africa","Share in Land area","1988","%","6.73",""
"Africa","Share in Land area","1987","%","6.68",""
"Africa","Share in Land area","1986","%","6.66",""
"Africa","Share in Land area","1985","%","6.63",""
"Africa","Share in Land area","1984","%","6.52",""
"Africa","Share in Land area","1983","%","6.48",""
"Africa","Share in Land area","1982","%","6.45",""
"Africa","Share in Land area","1981","%","6.41",""
"Africa","Share in Land area","1980","%","6.39",""
"Africa","Share in Land area","1979","%","6.38",""
"Africa","Share in Land area","1978","%","6.37",""
"Africa","Share in Land area","1977","%","6.31",""
"Africa","Share in Land area","1976","%","6.28",""
"Africa","Share in Land area","1975","%","6.24",""
"Africa","Share in Land area","1974","%","6.18",""
"Africa","Share in Land area","1973","%","6.17",""
"Africa","Share in Land area","1972","%","6.14",""
"Africa","Share in Land area","1971","%","6.10",""
"Africa","Share in Land area","1970","%","6.05",""
"Africa","Share in Land area","1969","%","6.02",""
"Africa","Share in Land area","1968","%","5.98",""
"Africa","Share in Land area","1967","%","5.91",""
"Africa","Share in Land area","1966","%","5.89",""
"Africa","Share in Land area","1965","%","5.86",""
"Africa","Share in Land area","1964","%","5.80",""
"Africa","Share in Land area","1963","%","5.75",""
"Africa","Share in Land area","1962","%","5.68",""
"Africa","Share in Land area","1961","%","5.64",""
"Africa","Area per capita","2021","ha/cap","0.21",""
"Africa","Area per capita","2020","ha/cap","0.21",""
"Africa","Area per capita","2019","ha/cap","0.22",""
"Africa","Area per capita","2018","ha/cap","0.22",""
"Africa","Area per capita","2017","ha/cap","0.23",""
"Africa","Area per capita","2016","ha/cap","0.23",""
"Africa","Area per capita","2015","ha/cap","0.23",""
"Africa","Area per capita","2014","ha/cap","0.24",""
"Africa","Area per capita","2013","ha/cap","0.24",""
"Africa","Area per capita","2012","ha/cap","0.25",""
"Africa","Area per capita","2011","ha/cap","0.25",""
"Africa","Area per capita","2010","ha/cap","0.25",""
"Africa","Area per capita","2009","ha/cap","0.25",""
"Africa","Area per capita","2008","ha/cap","0.25",""
"Africa","Area per capita","2007","ha/cap","0.26",""
"Africa","Area per capita","2006","ha/cap","0.26",""
"Africa","Area per capita","2005","ha/cap","0.26",""
"Africa","Area per capita","2004","ha/cap","0.27",""
"Africa","Area per capita","2003","ha/cap","0.27",""
"Africa","Area per capita","2002","ha/cap","0.27",""
"Africa","Area per capita","2001","ha/cap","0.28",""
"Africa","Area per capita","2000","ha/cap","0.28",""
"Africa","Area per capita","1999","ha/cap","0.29",""
"Africa","Area per capita","1998","ha/cap","0.29",""
"Africa","Area per capita","1997","ha/cap","0.30",""
"Africa","Area per capita","1996","ha/cap","0.30",""
"Africa","Area per capita","1995","ha/cap","0.31",""
"Africa","Area per capita","1994","ha/cap","0.31",""
"Africa","Area per capita","1993","ha/cap","0.31",""
"Africa","Area per capita","1992","ha/cap","0.31",""
"Africa","Area per capita","1991","ha/cap","0.31",""
"Africa","Area per capita","1990","ha/cap","0.32",""
"Africa","Area per capita","1989","ha/cap","0.32",""
"Africa","Area per capita","1988","ha/cap","0.33",""
"Africa","Area per capita","1987","ha/cap","0.34",""
"Africa","Area per capita","1986","ha/cap","0.35",""
"Africa","Area per capita","1985","ha/cap","0.35",""
"Africa","Area per capita","1984","ha/cap","0.36",""
"Africa","Area per capita","1983","ha/cap","0.37",""
"Africa","Area per capita","1982","ha/cap","0.37",""
"Africa","Area per capita","1981","ha/cap","0.38",""
"Africa","Area per capita","1980","ha/cap","0.39",""
"Africa","Area per capita","1979","ha/cap","0.40",""
"Africa","Area per capita","1978","ha/cap","0.42",""
"Africa","Area per capita","1977","ha/cap","0.42",""
"Africa","Area per capita","1976","ha/cap","0.43",""
"Africa","Area per capita","1975","ha/cap","0.44",""
"Africa","Area per capita","1974","ha/cap","0.45",""
"Africa","Area per capita","1973","ha/cap","0.46",""
"Africa","Area per capita","1972","ha/cap","0.47",""
"Africa","Area per capita","1971","ha/cap","0.48",""
"Africa","Area per capita","1970","ha/cap","0.49",""
"Africa","Area per capita","1969","ha/cap","0.50",""
"Africa","Area per capita","1968","ha/cap","0.51",""
"Africa","Area per capita","1967","ha/cap","0.52",""
"Africa","Area per capita","1966","ha/cap","0.53",""
"Africa","Area per capita","1965","ha/cap","0.54",""
"Africa","Area per capita","1964","ha/cap","0.55",""
"Africa","Area per capita","1963","ha/cap","0.56",""
"Africa","Area per capita","1962","ha/cap","0.56",""
"Africa","Area per capita","1961","ha/cap","0.57",""
"Albania","Area","2021","1000 ha","687.53",""
"Albania","Area","2020","1000 ha","687.56",""
"Albania","Area","2019","1000 ha","696.00",""
"Albania","Area","2018","1000 ha","696.00",""
"Albania","Area","2017","1000 ha","696.20",""
"Albania","Area","2016","1000 ha","703.50",""
"Albania","Area","2015","1000 ha","696.10",""
"Albania","Area","2014","1000 ha","696.00",""
"Albania","Area","2013","1000 ha","696.30",""
"Albania","Area","2012","1000 ha","696.00",""
"Albania","Area","2011","1000 ha","696.00",""
"Albania","Area","2010","1000 ha","696.00",""
"Albania","Area","2009","1000 ha","696.00",""
"Albania","Area","2008","1000 ha","697.00",""
"Albania","Area","2007","1000 ha","698.00",""
"Albania","Area","2006","1000 ha","705.00",""
"Albania","Area","2005","1000 ha","659.00",""
"Albania","Area","2004","1000 ha","699.00",""
"Albania","Area","2003","1000 ha","699.00",""
"Albania","Area","2002","1000 ha","699.00",""
"Albania","Area","2001","1000 ha","699.00",""
"Albania","Area","2000","1000 ha","699.00",""
"Albania","Area","1999","1000 ha","699.00",""
"Albania","Area","1998","1000 ha","699.00",""
"Albania","Area","1997","1000 ha","700.00",""
"Albania","Area","1996","1000 ha","702.00",""
"Albania","Area","1995","1000 ha","702.00",""
"Albania","Area","1994","1000 ha","702.00",""
"Albania","Area","1993","1000 ha","702.00",""
"Albania","Area","1992","1000 ha","703.00",""
"Albania","Area","1991","1000 ha","703.00",""
"Albania","Area","1990","1000 ha","704.00",""
"Albania","Area","1989","1000 ha","707.00",""
"Albania","Area","1988","1000 ha","714.00",""
"Albania","Area","1987","1000 ha","714.00",""
"Albania","Area","1986","1000 ha","713.00",""
"Albania","Area","1985","1000 ha","713.00",""
"Albania","Area","1984","1000 ha","713.00",""
"Albania","Area","1983","1000 ha","710.00",""
"Albania","Area","1982","1000 ha","709.00",""
"Albania","Area","1981","1000 ha","706.00",""
"Albania","Area","1980","1000 ha","702.00",""
"Albania","Area","1979","1000 ha","697.00",""
"Albania","Area","1978","1000 ha","697.00",""
"Albania","Area","1977","1000 ha","692.00",""
"Albania","Area","1976","1000 ha","685.00",""
"Albania","Area","1975","1000 ha","662.00",""
"Albania","Area","1974","1000 ha","652.00",""
"Albania","Area","1973","1000 ha","636.00",""
