"Country or Territory","Station Name","WMO Station Number","National Station Id Number","Period","Element-Statistic Qualifier Code","Statistic Description","Unit","Jan","Jan Footnotes","Feb","Feb Footnotes","Mar","Mar Footnotes","Apr","Apr Footnotes","May","May Footnotes","Jun","Jun Footnotes","Jul","Jul Footnotes","Aug","Aug Footnotes","Sep","Sep Footnotes","Oct","Oct Footnotes","Nov","Nov Footnotes","Dec","Dec Footnotes","Annual","Annual Footnotes","Annual NCDC Computed Value","Annual NCDC Computed Value Footnotes"
"CANADA","PRINCE RUPERT A , BC","71898","01066481","1962-1990","","Date (Year/Day) of Occurrence of Maximum Daily Value","mm","198208","","196409","","198127","","197226","","197925","","198711","","198823","","196710","","198325","","198605","","198111","","199007","","-9999","","-9999",""
"CANADA","PRINCE RUPERT A , BC","71898","01066481","1962-1990","","Mean Monthly Value","mm","205.6","","189.1","","168.3","","174.3","","142.0","","119.5","","112.9","","162.8","","244.7","","378.6","","272.2","","239.2","","2409.1","","2409.2",""
"CANADA","PRINCE RUPERT A , BC","71898","01066481","1962-1990","06","Number of Years used to Calculate Normal","mm","28","","28","","28","","28","","29","","29","","29","","29","","29","","29","","29","","29","","-9999.9","1","-9999.9","1"
"CANADA","PRINCE RUPERT A , BC","71898","01066481","1962-1990","15","Number of Years used to Calculate Normal","mm","28","","28","","28","","28","","29","","29","","29","","29","","28","","28","","28","","28","","-9999.9","1","-9999.9","1"
"CANADA","LANGARA , BC","71899","01054500","1936-1990","","Mean Daily Value","mm","28.6","","22.7","","21.2","","22.2","","19.0","","18.0","","19.8","","23.1","","29.9","","38.2","","32.5","","31.0","","49.2","","-9999.9","1"
"CANADA","LANGARA , BC","71899","01054500","1936-1990","","Maximum Daily Value","mm","71.2","","46.0","","52.0","","54.9","","65.3","","38.9","","53.6","","46.0","","56.8","","67.8","","88.4","","57.0","","88.4","","-9999.9","1"
"CANADA","LANGARA , BC","71899","01054500","1936-1990","","Date (Year/Day) of Occurrence of Maximum Daily Value","mm","198625","","194312","","199015","","193906","","194501","","195725","","198823","","194011","","198325","","198209","","196901","","197926","","-9999","","-9999",""
"CANADA","LANGARA , BC","71899","01054500","1936-1990","","Mean Monthly Value","mm","162.2","","127.0","","124.7","","129.1","","105.2","","92.8","","83.3","","112.1","","179.0","","269.5","","202.1","","185.3","","1772.1","","1772.3",""
"CANADA","LANGARA , BC","71899","01054500","1936-1990","06","Number of Years used to Calculate Normal","mm","30","","30","","30","","30","","30","","30","","30","","29","","30","","30","","30","","30","","-9999.9","1","-9999.9","1"
"CANADA","LANGARA , BC","71899","01054500","1936-1990","15","Number of Years used to Calculate Normal","mm","30","","30","","30","","30","","30","","30","","30","","29","","30","","30","","29","","29","","-9999.9","1","-9999.9","1"
"CANADA","NAIN A , NF","71902","08502800","1926-1990","","Maximum Daily Value","mm","8.1","","5.6","","31.6","","10.9","","45.7","","42.2","","54.1","","65.8","","63.8","","31.2","","32.5","","53.1","","65.8","","-9999.9","1"
"CANADA","NAIN A , NF","71902","08502800","1926-1990","","Date (Year/Day) of Occurrence of Maximum Daily Value","mm","194016","","194014","","198811","","197306","","197018","","192926","","192830","","195317","","193224","","192708","","194104","","192718","","-9999","","-9999",""
"CANADA","KUUJJUARAPIK A , QC","71905","07103536","1925-1990","","Mean Daily Value","mm","0.0","","0.3","","1.1","","4.1","","9.4","","18.0","","19.0","","24.3","","22.1","","13.2","","5.8","","0.6","","33.3","","-9999.9","1"
"CANADA","KUUJJUARAPIK A , QC","71905","07103536","1925-1990","","Maximum Daily Value","mm","1.3","","9.2","","8.1","","21.3","","27.1","","42.2","","72.9","","58.4","","56.9","","55.9","","26.0","","11.4","","72.9","","-9999.9","1"
"CANADA","KUUJJUARAPIK A , QC","71905","07103536","1925-1990","","Mean Monthly Value","mm","0.0","","0.4","","1.5","","6.7","","21.4","","50.6","","72.4","","89.0","","90.7","","44.3","","9.2","","0.7","","387.1","","386.9",""
"CANADA","KUUJJUARAPIK A , QC","71905","07103536","1925-1990","06","Number of Years used to Calculate Normal","mm","30","","30","","30","","30","","30","","29","","30","","30","","30","","30","","30","","30","","-9999.9","1","-9999.9","1"
"CANADA","KUUJJUARAPIK A , QC","71905","07103536","1925-1990","15","Number of Years used to Calculate Normal","mm","30","","30","","30","","30","","30","","29","","30","","30","","28","","29","","29","","29","","-9999.9","1","-9999.9","1"
"CANADA","KUUJJUAQ A , QC","71906","07113534","1947-1990","","Mean Daily Value","mm","0.0","","0.4","","0.4","","1.3","","5.8","","15.6","","15.2","","16.5","","12.5","","8.4","","3.2","","0.3","","22.8","","-9999.9","1"
"CANADA","KUUJJUAQ A , QC","71906","07113534","1947-1990","","Maximum Daily Value","mm","5.1","","6.0","","2.6","","9.2","","22.6","","44.7","","35.8","","44.5","","35.1","","17.5","","18.3","","6.9","","44.7","","-9999.9","1"
"CANADA","KUUJJUAQ A , QC","71906","07113534","1947-1990","","Mean Monthly Value","mm","0.0","","0.5","","0.6","","2.3","","14.3","","45.6","","56.9","","65.6","","46.5","","24.3","","4.8","","0.4","","262.0","","261.8",""
"CANADA","KUUJJUAQ A , QC","71906","07113534","1947-1990","06","Number of Years used to Calculate Normal","mm","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","-9999.9","1","-9999.9","1"
"CANADA","KUUJJUAQ A , QC","71906","07113534","1947-1990","15","Number of Years used to Calculate Normal","mm","30","","30","","30","","30","","30","","30","","30","","30","","30","","29","","30","","30","","-9999.9","1","-9999.9","1"
"CANADA","INUKJUAK , QC","71907","07103282","1922-1990","","Mean Daily Value","mm","0.0","","0.1","","0.1","","1.9","","5.3","","13.5","","18.0","","16.8","","16.4","","11.2","","2.1","","0.3","","26.9","","-9999.9","1"
"CANADA","INUKJUAK , QC","71907","07103282","1922-1990","","Maximum Daily Value","mm","0.0","","2.4","","1.3","","9.7","","25.9","","52.4","","55.8","","48.5","","43.8","","36.8","","9.7","","5.8","","55.8","","-9999.9","1"
"CANADA","INUKJUAK , QC","71907","07103282","1922-1990","","Mean Monthly Value","mm","0.0","","0.0","","0.1","","2.9","","9.8","","31.9","","54.7","","62.3","","58.1","","27.8","","3.0","","0.4","","251.1","","251.0",""
"CANADA","INUKJUAK , QC","71907","07103282","1922-1990","06","Number of Years used to Calculate Normal","mm","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","-9999.9","1","-9999.9","1"
"CANADA","INUKJUAK , QC","71907","07103282","1922-1990","15","Number of Years used to Calculate Normal","mm","30","","30","","30","","30","","30","","29","","30","","30","","30","","29","","29","","30","","-9999.9","1","-9999.9","1"
"CANADA","IQALUIT A , NT","71909","02402590","1946-1990","","Mean Daily Value","mm","0.1","","0.1","","0.0","","0.2","","1.8","","10.9","","18.0","","17.4","","12.7","","3.0","","0.4","","0.0","","24.6","","-9999.9","1"
"CANADA","IQALUIT A , NT","71909","02402590","1946-1990","","Maximum Daily Value","mm","2.5","","2.0","","0.5","","5.1","","11.7","","28.4","","52.8","","34.0","","40.4","","23.3","","11.9","","0.5","","52.8","","-9999.9","1"
"CANADA","IQALUIT A , NT","71909","02402590","1946-1990","","Date (Year/Day) of Occurrence of Maximum Daily Value","mm","195821","","196303","","195809","","195020","","198614","","196130","","196814","","199003","","197901","","198524","","195501","","196316","","-9999","","-9999",""
"CANADA","IQALUIT A , NT","71909","02402590","1946-1990","","Mean Monthly Value","mm","0.0","","0.0","","0.0","","0.2","","2.3","","24.3","","57.8","","62.8","","38.1","","6.7","","0.4","","0.0","","192.9","","192.6",""
"CANADA","IQALUIT A , NT","71909","02402590","1946-1990","06","Number of Years used to Calculate Normal","mm","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","-9999.9","1","-9999.9","1"
"CANADA","IQALUIT A , NT","71909","02402590","1946-1990","15","Number of Years used to Calculate Normal","mm","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","-9999.9","1","-9999.9","1"
"CANADA","CAPE DORSET A , NT","71910","02400635","1963-1990","","Maximum Daily Value","mm","0.0","","0.0","","0.0","","0.6","","11.4","","11.9","","14.4","","41.2","","26.2","","17.3","","0.6","","0.0","","41.2","","-9999.9","1"
"CANADA","CAPE DORSET A , NT","71910","02400635","1963-1990","","Date (Year/Day) of Occurrence of Maximum Daily Value","mm","199181","","199178","","199181","","198412","","198030","","196323","","199116","","198620","","198817","","197311","","198502","","199181","","-9999","","-9999",""
"CANADA","SHEPHERD BAY A , NT","71911","02303685","1957-1990","","Mean Daily Value","mm","0.0","","0.0","","0.0","","0.0","","0.2","","6.4","","8.6","","9.6","","5.9","","0.6","","0.0","","0.0","","13.3","","-9999.9","1"
"CANADA","SHEPHERD BAY A , NT","71911","02303685","1957-1990","","Maximum Daily Value","mm","0.0","","0.0","","0.0","","0.0","","1.3","","21.3","","21.9","","23.6","","21.8","","8.1","","0.0","","0.0","","23.6","","-9999.9","1"
"CANADA","SHEPHERD BAY A , NT","71911","02303685","1957-1990","","Date (Year/Day) of Occurrence of Maximum Daily Value","mm","199181","","199178","","199181","","199180","","197526","","196514","","198704","","196117","","196619","","197024","","199180","","199181","","-9999","","-9999",""
"CANADA","SHEPHERD BAY A , NT","71911","02303685","1957-1990","","Mean Monthly Value","mm","0.0","","0.0","","0.0","","0.0","","0.2","","11.2","","22.8","","29.9","","13.9","","0.5","","0.0","","0.0","","78.6","","78.5",""
"CANADA","SHEPHERD BAY A , NT","71911","02303685","1957-1990","06","Number of Years used to Calculate Normal","mm","30","","30","","29","","30","","29","","30","","30","","29","","30","","30","","30","","29","","-9999.9","1","-9999.9","1"
"CANADA","SHEPHERD BAY A , NT","71911","02303685","1957-1990","15","Number of Years used to Calculate Normal","mm","30","","30","","28","","30","","29","","30","","29","","27","","30","","29","","30","","28","","-9999.9","1","-9999.9","1"
"CANADA","GILLAM A , MB","71912","05061001","1970-1990","","Mean Daily Value","mm","0.0","","0.0","","0.4","","3.0","","14.4","","16.3","","24.6","","25.1","","14.9","","8.1","","1.2","","0.0","","35.1","","-9999.9","1"
"CANADA","GILLAM A , MB","71912","05061001","1970-1990","","Maximum Daily Value","mm","0.2","","0.2","","3.2","","14.5","","46.0","","48.7","","62.6","","52.1","","25.0","","25.4","","9.1","","1.0","","62.6","","-9999.9","1"
"CANADA","GILLAM A , MB","71912","05061001","1970-1990","","Date (Year/Day) of Occurrence of Maximum Daily Value","mm","198708","","198603","","198230","","197629","","198831","","198024","","198023","","197525","","197819","","198112","","197408","","198709","","-9999","","-9999",""
"CANADA","GILLAM A , MB","71912","05061001","1970-1990","","Mean Monthly Value","mm","0.0","","0.0","","0.5","","4.8","","30.2","","51.5","","83.5","","75.5","","46.3","","18.9","","1.5","","0.0","","312.9","","312.7",""
"CANADA","GILLAM A , MB","71912","05061001","1970-1990","06","Number of Years used to Calculate Normal","mm","20","","20","","20","","20","","20","","20","","20","","20","","20","","21","","20","","21","","-9999.9","1","-9999.9","1"
"CANADA","GILLAM A , MB","71912","05061001","1970-1990","15","Number of Years used to Calculate Normal","mm","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","21","","-9999.9","1","-9999.9","1"
"CANADA","CHURCHILL A , MB","71913","05060600","1943-1990","","Mean Daily Value","mm","0.0","","0.0","","0.5","","1.3","","6.9","","13.4","","17.3","","21.6","","15.7","","8.8","","1.1","","0.1","","28.7","","-9999.9","1"
"CANADA","CHURCHILL A , MB","71913","05060600","1943-1990","","Maximum Daily Value","mm","0.3","","1.3","","15.2","","8.4","","35.1","","36.4","","52.3","","51.8","","62.3","","26.2","","11.6","","1.8","","62.3","","-9999.9","1"
"CANADA","CHURCHILL A , MB","71913","05060600","1943-1990","","Date (Year/Day) of Occurrence of Maximum Daily Value","mm","198760","","196106","","196827","","196121","","198205","","198223","","194830","","198807","","198303","","197002","","198305","","196126","","-9999","","-9999",""
"CANADA","CHURCHILL A , MB","71913","05060600","1943-1990","","Mean Monthly Value","mm","0.0","","0.0","","0.7","","1.9","","13.3","","40.2","","50.7","","60.5","","46.4","","20.0","","1.4","","0.2","","235.4","","235.3",""
"CANADA","CHURCHILL A , MB","71913","05060600","1943-1990","06","Number of Years used to Calculate Normal","mm","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","-9999.9","1","-9999.9","1"
"CANADA","CHURCHILL A , MB","71913","05060600","1943-1990","15","Number of Years used to Calculate Normal","mm","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","-9999.9","1","-9999.9","1"
"CANADA","CORAL HARBOUR A , NT","71915","02301000","1933-1990","","Mean Daily Value","mm","0.0","","0.0","","0.2","","0.0","","1.7","","9.6","","15.2","","17.2","","11.5","","8.4","","0.4","","0.0","","28.6","","-9999.9","1"
"CANADA","CORAL HARBOUR A , NT","71915","02301000","1933-1990","","Maximum Daily Value","mm","0.3","","1.0","","2.5","","22.9","","12.7","","33.1","","43.2","","58.8","","38.1","","127.8","","7.8","","0.5","","127.8","","-9999.9","1"
"CANADA","CORAL HARBOUR A , NT","71915","02301000","1933-1990","","Date (Year/Day) of Occurrence of Maximum Daily Value","mm","195610","","196523","","196830","","194825","","195023","","197817","","196803","","198507","","193411","","197310","","198502","","196719","","-9999","","-9999",""
"CANADA","CORAL HARBOUR A , NT","71915","02301000","1933-1990","","Mean Monthly Value","mm","0.0","","0.0","","0.2","","0.0","","2.1","","18.9","","42.8","","50.1","","25.8","","11.7","","0.5","","0.0","","152.2","","152.1",""
"CANADA","CORAL HARBOUR A , NT","71915","02301000","1933-1990","06","Number of Years used to Calculate Normal","mm","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","29","","30","","-9999.9","1","-9999.9","1"
"CANADA","CORAL HARBOUR A , NT","71915","02301000","1933-1990","15","Number of Years used to Calculate Normal","mm","30","","30","","30","","30","","30","","30","","30","","29","","30","","29","","29","","30","","-9999.9","1","-9999.9","1"
"CANADA","EUREKA , NT","71917","02401200","1948-1990","","Mean Daily Value","mm","0.0","","0.0","","0.0","","0.0","","0.0","","2.1","","4.1","","4.0","","0.6","","0.0","","0.0","","0.0","","6.3","","-9999.9","1"
"CANADA","EUREKA , NT","71917","02401200","1948-1990","","Maximum Daily Value","mm","0.0","","0.0","","0.0","","0.0","","0.3","","14.5","","19.1","","41.7","","6.2","","0.0","","0.0","","0.0","","41.7","","-9999.9","1"
"CANADA","EUREKA , NT","71917","02401200","1948-1990","","Date (Year/Day) of Occurrence of Maximum Daily Value","mm","199181","","199178","","199181","","199180","","196630","","195115","","196113","","195317","","198518","","199181","","199180","","199181","","-9999","","-9999",""
"CANADA","EUREKA , NT","71917","02401200","1948-1990","","Mean Monthly Value","mm","0.0","","0.0","","0.0","","0.0","","0.0","","3.7","","10.0","","7.9","","0.9","","0.0","","0.0","","0.0","","22.4","","22.5",""
"CANADA","EUREKA , NT","71917","02401200","1948-1990","06","Number of Years used to Calculate Normal","mm","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","-9999.9","1","-9999.9","1"
"CANADA","EUREKA , NT","71917","02401200","1948-1990","15","Number of Years used to Calculate Normal","mm","30","","30","","29","","30","","30","","30","","30","","30","","30","","30","","30","","30","","-9999.9","1","-9999.9","1"
"CANADA","PELLY BAY , NT","71919","02303090","1957-1990","","Mean Daily Value","mm","0.0","","0.0","","0.0","","0.0","","0.7","","4.8","","12.1","","14.1","","9.1","","0.6","","0.0","","0.0","","18.7","","-9999.9","1"
"CANADA","PELLY BAY , NT","71919","02303090","1957-1990","","Maximum Daily Value","mm","0.0","","0.0","","0.0","","0.0","","10.2","","17.3","","32.8","","43.7","","22.1","","10.2","","0.0","","0.0","","43.7","","-9999.9","1"
"CANADA","PELLY BAY , NT","71919","02303090","1957-1990","","Date (Year/Day) of Occurrence of Maximum Daily Value","mm","199181","","199178","","199181","","199180","","197124","","197425","","198022","","196712","","197326","","197024","","199180","","199181","","-9999","","-9999",""
"CANADA","PELLY BAY , NT","71919","02303090","1957-1990","","Mean Monthly Value","mm","0.0","","0.0","","0.0","","0.0","","0.8","","8.7","","34.8","","43.5","","18.1","","0.7","","0.0","","0.0","","106.7","","106.6",""
"CANADA","PELLY BAY , NT","71919","02303090","1957-1990","06","Number of Years used to Calculate Normal","mm","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","29","","29","","-9999.9","1","-9999.9","1"
"CANADA","PELLY BAY , NT","71919","02303090","1957-1990","15","Number of Years used to Calculate Normal","mm","29","","30","","29","","30","","30","","29","","30","","30","","30","","30","","29","","29","","-9999.9","1","-9999.9","1"
"CANADA","CREE LAKE , SK","71920","04061861","1969-1990","","Mean Daily Value","mm","0.0","","0.1","","0.4","","3.7","","10.2","","20.2","","27.6","","21.6","","15.0","","7.1","","0.7","","0.2","","36.9","","-9999.9","1"
"CANADA","CREE LAKE , SK","71920","04061861","1969-1990","","Maximum Daily Value","mm","0.4","","0.5","","5.6","","17.8","","24.6","","69.0","","72.7","","52.3","","35.1","","20.8","","11.8","","2.2","","72.7","","-9999.9","1"
"CANADA","CREE LAKE , SK","71920","04061861","1969-1990","","Date (Year/Day) of Occurrence of Maximum Daily Value","mm","198023","","197608","","198312","","197528","","198226","","198806","","197824","","197626","","197002","","197026","","198304","","199008","","-9999","","-9999",""
"CANADA","CREE LAKE , SK","71920","04061861","1970-1990","","Mean Monthly Value","mm","0.0","","0.1","","0.4","","5.7","","23.3","","64.4","","89.1","","66.9","","44.0","","18.0","","0.8","","0.2","","312.9","","312.9",""
"CANADA","CREE LAKE , SK","71920","04061861","1969-1990","06","Number of Years used to Calculate Normal","mm","21","","21","","21","","21","","21","","21","","21","","21","","21","","21","","21","","22","","-9999.9","1","-9999.9","1"
"CANADA","CREE LAKE , SK","71920","04061861","1970-1990","15","Number of Years used to Calculate Normal","mm","21","","21","","21","","21","","21","","21","","21","","21","","21","","21","","20","","21","","-9999.9","1","-9999.9","1"
"CANADA","LA RONGE A , SK","71922","04064150","1959-1990","","Mean Daily Value","mm","0.4","","0.3","","0.2","","6.7","","13.8","","24.4","","24.8","","19.6","","20.2","","9.4","","1.7","","0.3","","35.9","","-9999.9","1"
"CANADA","LA RONGE A , SK","71922","04064150","1959-1990","","Maximum Daily Value","mm","5.3","","4.0","","1.5","","21.9","","41.5","","77.7","","53.8","","34.4","","48.5","","23.0","","13.8","","2.2","","77.7","","-9999.9","1"
"CANADA","LA RONGE A , SK","71922","04064150","1959-1990","","Date (Year/Day) of Occurrence of Maximum Daily Value","mm","196823","","198827","","199122","","198922","","197720","","197028","","197107","","198806","","197312","","199002","","198806","","198016","","-9999","","-9999",""
